	AUC	p.value	FDR	Rank
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.488888888888889	0.1	0.454545454545455	1
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.522619047619048	0.1	0.454545454545455	1
HALLMARK_APOPTOSIS	0.594047619047619	0.1	0.454545454545455	1
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.576587301587302	0.1	0.454545454545455	1
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.712698412698413	0.1	0.454545454545455	1
HALLMARK_HEDGEHOG_SIGNALING	0.607539682539682	0.1	0.454545454545455	1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.520238095238095	0.1	0.454545454545455	1
HALLMARK_P53_PATHWAY	0.786507936507936	0.1	0.454545454545455	1
HALLMARK_ANGIOGENESIS	0.594047619047619	0.1	0.454545454545455	1
HALLMARK_ALLOGRAFT_REJECTION	0.734523809523809	0.1	0.454545454545455	1
HALLMARK_SPERMATOGENESIS	0.596428571428571	0.1	0.454545454545455	1
HALLMARK_APICAL_SURFACE	0.539285714285714	0.2	0.769230769230769	12
HALLMARK_COAGULATION	0.513492063492063	0.2	0.769230769230769	12
HALLMARK_FATTY_ACID_METABOLISM	0.463095238095238	0.3	0.967741935483871	14
HALLMARK_HYPOXIA	0.471428571428571	0.4	0.967741935483871	15
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.475793650793651	0.4	0.967741935483871	15
HALLMARK_PROTEIN_SECRETION	0.473412698412698	0.4	0.967741935483871	15
HALLMARK_PEROXISOME	0.454761904761905	0.4	0.967741935483871	15
HALLMARK_KRAS_SIGNALING_UP	0.453968253968254	0.4	0.967741935483871	15
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.465079365079365	0.5	0.967741935483871	20
HALLMARK_G2M_CHECKPOINT	0.441865079365079	0.5	0.967741935483871	20
HALLMARK_MYOGENESIS	0.416269841269841	0.5	0.967741935483871	20
HALLMARK_MYC_TARGETS_V1	0.412698412698413	0.5	0.967741935483871	20
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.407936507936508	0.5	0.967741935483871	20
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.418253968253968	0.5	0.967741935483871	20
HALLMARK_TGF_BETA_SIGNALING	0.445238095238095	0.6	0.967741935483871	26
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.422222222222222	0.6	0.967741935483871	26
HALLMARK_ESTROGEN_RESPONSE_LATE	0.432142857142857	0.6	0.967741935483871	26
HALLMARK_MTORC1_SIGNALING	0.377777777777778	0.6	0.967741935483871	26
HALLMARK_INFLAMMATORY_RESPONSE	0.424603174603175	0.6	0.967741935483871	26
HALLMARK_GLYCOLYSIS	0.413888888888889	0.6	0.967741935483871	26
HALLMARK_MYC_TARGETS_V2	0.418650793650794	0.7	1	32
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.366666666666667	0.7	1	32
HALLMARK_UV_RESPONSE_UP	0.396825396825397	0.7	1	32
HALLMARK_UV_RESPONSE_DN	0.412698412698413	0.7	1	32
HALLMARK_NOTCH_SIGNALING	0.359126984126984	0.8	1	36
HALLMARK_ANDROGEN_RESPONSE	0.392857142857143	0.8	1	36
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.396031746031746	0.8	1	36
HALLMARK_KRAS_SIGNALING_DN	0.403968253968254	0.8	1	36
HALLMARK_BILE_ACID_METABOLISM	0.369444444444444	0.9	1	40
HALLMARK_MITOTIC_SPINDLE	0.368650793650794	1	1	41
HALLMARK_DNA_REPAIR	0.381349206349206	1	1	41
HALLMARK_ADIPOGENESIS	0.349206349206349	1	1	41
HALLMARK_APICAL_JUNCTION	0.365079365079365	1	1	41
HALLMARK_COMPLEMENT	0.372222222222222	1	1	41
HALLMARK_E2F_TARGETS	0.312301587301587	1	1	41
HALLMARK_XENOBIOTIC_METABOLISM	0.335714285714286	1	1	41
HALLMARK_HEME_METABOLISM	0.331349206349206	1	1	41
HALLMARK_IL2_STAT5_SIGNALING	0.373412698412698	1	1	41
HALLMARK_PANCREAS_BETA_CELLS	0.314285714285714	1	1	41
